line,seq_index,from_machine,to_machine,from_output_pos_xyz,to_input_pos_xyz,gap_dist_m,vertical_delta_m,connection_method,feasible_yes_no,note
LINE_3A,9->10,transport_screw,mech_dryer,"(0.00,2.28,53.87)","(0.00,2.55,56.50)",2.64,-0.27,logical-only(THIN-AIR),NO,"UPHILL 0.27m."
LINE_3A,10->11,mech_dryer,blower,"(0.00,1.50,59.87)","(0.00,0.60,62.20)",2.49,0.90,gravity-gutter(DRAWN),YES,""
LINE_3A,11->12,blower,mengsilo,"(0.00,1.02,62.20)","(0.00,6.17,65.80)",6.29,-5.15,logical-only(THIN-AIR),NO,"IMPOSSIBLE: blower outlet 1.02m must reach mengsilo top 6.17m. 5.15m UPHILL."
LINE_3A,12->17,mengsilo,transport_screw,"(0.00,0.78,65.80)","(0.00,0.96,69.02)",3.23,-0.18,logical-only(THIN-AIR),YES,"main-path tap from mengsilo cone outlet"
LINE_3A,17->18,transport_screw,verdeelwals,"(0.00,2.28,73.08)","(0.00,1.53,74.87)",1.95,0.75,gravity-gutter(DRAWN),YES,""
LINE_3A,18->19,verdeelwals,blower,"(0.00,0.63,76.13)","(0.00,0.60,78.30)",2.17,0.03,logical-only(THIN-AIR),YES,""
LINE_3A,19->20,blower,wind_sifter,"(0.00,1.02,78.30)","(0.00,1.87,80.50)",2.36,-0.85,logical-only(THIN-AIR),NO,"UPHILL 0.85m."
LINE_3A,20->21,wind_sifter,blower,"(0.00,2.72,82.30)","(0.00,0.60,84.50)",3.06,2.12,gravity-gutter(DRAWN),YES,""
LINE_3A,21->22,blower,cyclone,"(0.00,1.02,84.50)","(0.64,2.40,87.40)",3.27,-1.38,logical-only(THIN-AIR),NO,"UPHILL 1.38m."
LINE_3A,22->23,cyclone,verdeelwals,"(0.00,0.24,87.40)","(0.00,1.53,89.77)",2.70,-1.29,logical-only(THIN-AIR),NO,"UPHILL 1.29m: cyclone bottom must feed roller above it."
LINE_3A,23->24,verdeelwals,thermal_dryer,"(0.00,0.63,91.03)","(0.00,3.82,92.75)",3.63,-3.19,logical-only(THIN-AIR),NO,"UPHILL 3.19m into tall tower inlet, no lift."
LINE_3A,24->25,thermal_dryer,cyclone,"(0.00,1.57,95.45)","(0.64,2.40,97.90)",2.66,-0.83,logical-only(THIN-AIR),NO,"UPHILL 0.83m."
LINE_3A,25->26,cyclone,blower,"(0.00,0.24,97.90)","(0.00,0.60,100.80)",2.92,-0.36,logical-only(THIN-AIR),NO,"UPHILL 0.36m; AND cyclone<->blower form a 2-cycle."
LINE_3A,26->27,blower,cyclone,"(0.00,1.02,100.80)","(0.64,2.40,103.70)",3.27,-1.38,logical-only(THIN-AIR),NO,"UPHILL 1.38m; blower back-links to cyclone[25]."
LINE_3A,27->28,cyclone,silo,"(0.00,0.24,103.70)","(0.00,5.40,107.50)",6.41,-5.16,logical-only(THIN-AIR),NO,"IMPOSSIBLE: cyclone bottom 0.24m to silo top 5.40m."
LINE_3A,28->29,silo,extruder_3a,"(0.00,0.72,107.50)","(0.00,1.80,115.72)",8.30,-1.08,logical-only(THIN-AIR),NO,"8.3m thin-air; AND silo back-links to cyclone, never reaches extruder."
LINE_3A,12->13,mengsilo,transport_screw,"(0.00,0.78,65.80)","(5.00,0.96,63.77)",5.40,-0.18,logical-only(THIN-AIR),YES,"BRANCH recirc tap. near-level but 5.4m lateral leap."
LINE_3A,13->14,transport_screw,blower,"(5.00,2.28,67.83)","(5.00,0.60,68.80)",1.94,1.68,gravity-gutter(DRAWN),YES,"BRANCH recirc."
LINE_3A,14->15,blower,ringleiding,"(5.00,1.02,68.80)","(5.00,2.55,70.36)",2.19,-1.53,logical-only(THIN-AIR),NO,"BRANCH recirc. UPHILL 1.53m."
LINE_3A,15->16,ringleiding,cyclone,"(5.00,1.05,73.24)","(5.64,2.40,74.80)",2.16,-1.35,logical-only(THIN-AIR),NO,"BRANCH recirc. UPHILL 1.35m; cyclone back-links to ringleiding."
LINE_3A,16->12,cyclone,mengsilo,"(5.00,0.24,74.80)","(0.00,6.17,65.80)",11.88,-5.93,logical-only(THIN-AIR),NO,"IMPOSSIBLE recirc return: cyclone bottom 0.24m to mengsilo TOP 6.17m. 5.93m UPHILL + 11.9m diagonal. The flagged 'cyclone below silo top' case."
LINE_3B,0->1,vuilsnippersilo,transport_screw,"(1.05,1.00,1.50)","(0.00,0.96,4.72)",3.39,0.04,logical-only(THIN-AIR),YES,"3.4m thin-air, near-level"
LINE_3B,1->2,transport_screw,rafter,"(0.00,2.28,8.78)","(0.00,1.26,13.74)",5.07,1.02,gravity-gutter(DRAWN),YES,"5.1m but downhill so a gutter is drawn"
LINE_3B,2->3,rafter,dewater_screw,"(0.00,0.72,10.86)","(0.00,1.04,15.83)",4.98,-0.32,logical-only(THIN-AIR),NO,"5.0m thin-air + UPHILL. rafter outlet on -Z (back toward screw): geometry reversed."
LINE_3B,3->4,dewater_screw,friction_sep,"(0.00,2.47,19.88)","(0.00,1.70,21.83)",2.10,0.77,gravity-gutter(DRAWN),YES,""
LINE_3B,4->5,friction_sep,flotation_tank,"(0.00,0.70,25.88)","(0.00,1.15,28.05)",2.22,-0.45,logical-only(THIN-AIR),NO,"UPHILL 0.45m."
LINE_3B,5->6,flotation_tank,dewater_screw,"(0.00,1.18,36.15)","(0.00,1.04,38.33)",2.18,0.14,logical-only(THIN-AIR),YES,""
LINE_3B,6->7,dewater_screw,friction_sep,"(0.00,2.47,42.38)","(0.00,1.70,44.33)",2.10,0.77,gravity-gutter(DRAWN),YES,""
LINE_3B,7->10,friction_sep,blower,"(0.00,0.70,48.38)","(0.00,0.60,56.70)",8.33,0.10,logical-only(THIN-AIR),NO,"8.3m thin-air gap straight through the L-R dryer split zone."
LINE_3B,10->11,blower,cyclone,"(0.00,1.02,56.70)","(0.64,2.40,59.60)",3.27,-1.38,logical-only(THIN-AIR),NO,"UPHILL 1.38m."
LINE_3B,11->12,cyclone,plasmaq,"(0.00,0.24,59.60)","(0.00,1.70,62.06)",2.86,-1.46,logical-only(THIN-AIR),NO,"UPHILL 1.46m: cyclone bottom to press inlet."
LINE_3B,12->13,plasmaq,cyclone,"(0.00,0.70,64.94)","(0.64,2.40,67.40)",3.06,-1.70,logical-only(THIN-AIR),NO,"UPHILL 1.70m."
LINE_3B,13->14,cyclone,blower,"(0.00,0.24,67.40)","(0.00,0.60,70.30)",2.92,-0.36,logical-only(THIN-AIR),NO,"UPHILL 0.36m; cyclone<->blower 2-cycle."
LINE_3B,14->15,blower,cyclone,"(0.00,1.02,70.30)","(0.64,2.40,73.20)",3.27,-1.38,logical-only(THIN-AIR),NO,"UPHILL 1.38m; blower back-links to cyclone[13]."
LINE_3B,15->16,cyclone,silo,"(0.00,0.24,73.20)","(0.00,5.40,77.00)",6.41,-5.16,logical-only(THIN-AIR),NO,"IMPOSSIBLE: cyclone bottom 0.24m to silo top 5.40m."
LINE_3B,16->17,silo,extruder_3b,"(0.00,0.72,77.00)","(0.00,1.80,85.22)",8.30,-1.08,logical-only(THIN-AIR),NO,"8.3m thin-air; AND silo back-links to cyclone, never reaches extruder."
LINE_3B,7->8,friction_sep,mech_dryer,"(0.00,0.70,48.38)","(-3.50,2.55,50.75)",4.62,-1.85,logical-only(THIN-AIR),NO,"BRANCH split-L. UPHILL 1.85m."
LINE_3B,7->9,friction_sep,mech_dryer,"(0.00,0.70,48.38)","(3.50,2.55,50.75)",4.62,-1.85,logical-only(THIN-AIR),NO,"BRANCH split-R. UPHILL 1.85m."
LINE_3B,8->10,mech_dryer,blower,"(-3.50,1.50,54.12)","(0.00,0.60,56.70)",4.44,0.90,gravity-gutter(DRAWN),YES,"BRANCH merge-L."
LINE_3B,9->10,mech_dryer,blower,"(3.50,1.50,54.12)","(0.00,0.60,56.70)",4.44,0.90,gravity-gutter(DRAWN),YES,"BRANCH merge-R."
